product_id;product_name;category;subcategory
FUR-BO-100001121;Bush Birmingham Collection Bookcase, Dark Cherry;Furniture;Bookcases
FUR-BO-100003301;Sauder Camden County Barrister Bookcase, Planked Cherry Finish;Furniture;Bookcases
FUR-BO-100003621;Sauder Inglewood Library Bookcases;Furniture;Bookcases
FUR-BO-100004681;O'Sullivan 2-Shelf Heavy-Duty Bookcases;Furniture;Bookcases
FUR-BO-100007111;Hon Metal Bookcases, Gray;Furniture;Bookcases
FUR-BO-100007801;O'Sullivan Plantations 2-Door Library in Landvery Oak;Furniture;Bookcases
FUR-BO-100013371;O'Sullivan Living Dimensions 2-Shelf Bookcases;Furniture;Bookcases
FUR-BO-100015191;O'Sullivan 3-Shelf Heavy-Duty Bookcases;Furniture;Bookcases
FUR-BO-100015671;Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled;Furniture;Bookcases
FUR-BO-100016011;Sauder Mission Library with Doors, Fruitwood Finish;Furniture;Bookcases
FUR-BO-100016081;Hon Metal Bookcases, Black;Furniture;Bookcases
FUR-BO-100016191;O'Sullivan Cherrywood Estates Traditional Bookcase;Furniture;Bookcases
FUR-BO-100017981;Bush Somerset Collection Bookcase;Furniture;Bookcases
FUR-BO-100018111;Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors;Furniture;Bookcases
FUR-BO-100019181;Sauder Forest Hills Library with Doors, Woodland Oak Finish;Furniture;Bookcases
FUR-BO-100019721;O'Sullivan 4-Shelf Bookcase in Odessa Pine;Furniture;Bookcases
FUR-BO-100022021;Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors;Furniture;Bookcases
FUR-BO-100022061;Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order;Furniture;Bookcases
FUR-BO-100022131;Sauder Forest Hills Library, Woodland Oak Finish;Furniture;Bookcases
FUR-BO-100022681;Sauder Barrister Bookcases;Furniture;Bookcases
FUR-BO-100025451;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;Furniture;Bookcases
FUR-BO-100025981;Hon Metal Bookcases, Putty;Furniture;Bookcases
FUR-BO-100026131;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;Furniture;Bookcases
FUR-BO-100028241;Bush Mission Pointe Library;Furniture;Bookcases
FUR-BO-100028531;O'Sullivan 5-Shelf Heavy-Duty Bookcases;Furniture;Bookcases
