region;state;city;country;postal_code
South;Florida;Jupiter;United States;33458
South;Georgia;Columbus;United States;31907
Central;Minnesota;Moorhead;United States;56560
West;Nevada;Reno;United States;89502
Central;Illinois;Peoria;United States;61604
West;Washington;Bellevue;United States;98006
Central;Texas;Deer Park;United States;77536
Central;Oklahoma;Broken Arrow;United States;74012
West;California;San Diego;United States;92037
West;California;Citrus Heights;United States;95610
South;North Carolina;Chapel Hill;United States;27514
West;Wyoming;Cheyenne;United States;82001
Central;Texas;Allen;United States;75002
East;Massachusetts;Marlborough;United States;1752
Central;Texas;Odessa;United States;79762
West;California;Huntington Beach;United States;92646
Central;Texas;Haltom City;United States;76117
West;California;Manteca;United States;95336
Central;Wisconsin;Franklin;United States;53132
Central;Texas;College Station;United States;77840
Central;Indiana;Mishawaka;United States;46544
Central;Michigan;Trenton;United States;48183
East;New York;Auburn;United States;13021
Central;Michigan;Taylor;United States;48180
Central;Illinois;Chicago;United States;60653
West;Oregon;Gresham;United States;97030
East;New Jersey;Plainfield;United States;7060
Central;Michigan;Saginaw;United States;48601
South;Virginia;Hampton;United States;23666
West;California;San Bernardino;United States;92404
East;New Jersey;Westfield;United States;7090
East;New York;Watertown;United States;13601
West;Utah;Murray;United States;84107
East;New Jersey;Clifton;United States;7011
Central;Indiana;New Castle;United States;47362
West;Idaho;Lewiston;United States;83501
Central;Kansas;Garden City;United States;67846
West;California;Santa Ana;United States;92704
Central;Wisconsin;La Crosse;United States;54601
South;North Carolina;Monroe;United States;28110
South;Florida;North Miami;United States;33161
East;Ohio;Mentor;United States;44060
West;Oregon;Springfield;United States;97477
Central;Texas;Pearland;United States;77581
West;Arizona;Yuma;United States;85364
West;California;Laguna Niguel;United States;92677
Central;Texas;Bedford;United States;76021
Central;Wisconsin;Sheboygan;United States;53081
West;California;Dublin;United States;94568
East;West Virginia;Wheeling;United States;26003
South;South Carolina;Summerville;United States;29483
East;New Jersey;Morristown;United States;7960
East;Ohio;Akron;United States;44312
South;Tennessee;Smyrna;United States;37167
East;New York;New York City;United States;10011
East;Pennsylvania;York;United States;17403
East;Ohio;Newark;United States;43055
South;Florida;Fort Lauderdale;United States;33311
Central;Texas;Conroe;United States;77301
Central;Illinois;Rockford;United States;61107
East;Pennsylvania;Allentown;United States;18103
Central;Illinois;Bloomington;United States;61701
West;New Mexico;Albuquerque;United States;87105
West;Nevada;Sparks;United States;89431
Central;Illinois;Chicago;United States;60623
East;New Jersey;Bayonne;United States;7002
Central;Indiana;Bloomington;United States;47401
West;Oregon;Salem;United States;97301
South;North Carolina;Thomasville;United States;27360
Central;Texas;Amarillo;United States;79109
West;Utah;Provo;United States;84604
West;Colorado;Broomfield;United States;80020
West;Washington;Spokane;United States;99207
Central;Nebraska;Norfolk;United States;68701
East;Maine;Lewiston;United States;4240
Central;Texas;Grapevine;United States;76051
West;California;Redondo Beach;United States;90278
Central;Texas;Houston;United States;77036
Central;Oklahoma;Edmond;United States;73034
Central;Missouri;Kirkwood;United States;63122
Central;Iowa;Cedar Rapids;United States;52402
West;California;Brentwood;United States;94513
East;New Jersey;Atlantic City;United States;8401
South;Alabama;Florence;United States;35630
East;New Jersey;New Brunswick;United States;8901
South;North Carolina;Wilmington;United States;28403
South;North Carolina;Charlotte;United States;28205
West;Oregon;Redmond;United States;97756
West;California;Montebello;United States;90640
West;Washington;Pasco;United States;99301
East;Ohio;Fairfield;United States;45014
South;Georgia;Athens;United States;30605
Central;Illinois;Danville;United States;61832
South;Florida;Miami;United States;33142
South;Alabama;Tuscaloosa;United States;35401
South;Arkansas;Texarkana;United States;71854
South;Virginia;Newport News;United States;23602
East;Massachusetts;Franklin;United States;2038
East;Pennsylvania;Philadelphia;United States;19134
West;Montana;Missoula;United States;59801
Central;Illinois;Quincy;United States;62301
West;California;Los Angeles;United States;90045
West;Nevada;Henderson;United States;89015
Central;Illinois;Saint Charles;United States;60174
South;Arkansas;Springdale;United States;72762
Central;Iowa;Des Moines;United States;50315
East;New Jersey;Passaic;United States;7055
Central;Michigan;Royal Oak;United States;48073
South;Virginia;Harrisonburg;United States;22801
Central;Oklahoma;Muskogee;United States;74403
East;Maine;Bangor;United States;4401
West;New Mexico;Farmington;United States;87401
South;Florida;Pembroke Pines;United States;33024
South;South Carolina;North Charleston;United States;29406
West;California;Inglewood;United States;90301
Central;Texas;Laredo;United States;78041
Central;Oklahoma;Oklahoma City;United States;73120
South;Arkansas;Pine Bluff;United States;71603
West;Colorado;Greeley;United States;80634
Central;Texas;Pharr;United States;78577
South;Florida;Apopka;United States;32712
Central;Texas;Carrollton;United States;75007
South;Alabama;Hoover;United States;35244
Central;Michigan;Lansing;United States;48911
South;Florida;Saint Petersburg;United States;33710
East;New York;Rome;United States;13440
Central;Oklahoma;Lawton;United States;73505
East;Maryland;Baltimore;United States;21215
Central;Indiana;Noblesville;United States;46060
South;Louisiana;Kenner;United States;70065
South;Tennessee;Clarksville;United States;37042
South;South Carolina;Columbia;United States;29203
South;Tennessee;Knoxville;United States;37918
South;North Carolina;Goldsboro;United States;27534
Central;Texas;San Antonio;United States;78207
South;Virginia;Waynesboro;United States;22980
West;Washington;Edmonds;United States;98026
Central;Wisconsin;West Allis;United States;53214
Central;Texas;Port Arthur;United States;77642
West;California;San Mateo;United States;94403
East;Pennsylvania;Bethlehem;United States;18018
West;California;Murrieta;United States;92563
East;Maryland;Rockville;United States;20852
South;North Carolina;Jacksonville;United States;28540
East;New York;Long Beach;United States;11561
West;California;Mission Viejo;United States;92691
Central;Oklahoma;Tulsa;United States;74133
East;District of Columbia;Washington;United States;20016
West;California;San Francisco;United States;94109
South;North Carolina;Greenville;United States;27834
Central;Texas;Mansfield;United States;76063
West;California;Burbank;United States;91505
West;California;El Cajon;United States;92020
East;Ohio;Hamilton;United States;45011
Central;Indiana;Lawrence;United States;46226
East;Ohio;Toledo;United States;43615
East;Rhode Island;Providence;United States;2908
South;Florida;Tamarac;United States;33319
West;New Mexico;Rio Rancho;United States;87124
South;Kentucky;Owensboro;United States;42301
Central;Michigan;Rochester Hills;United States;48307
Central;Wisconsin;Superior;United States;54880
East;Ohio;Grove City;United States;43123
Central;Indiana;Greenwood;United States;46142
West;Montana;Billings;United States;59102
East;New York;Niagara Falls;United States;14304
East;New Jersey;Linden;United States;7036
Central;Texas;Waco;United States;76706
West;California;Lakewood;United States;90712
West;Washington;Bellingham;United States;98226
Central;Texas;Austin;United States;78745
East;Massachusetts;Beverly;United States;1915
Central;Texas;Round Rock;United States;78664
Central;Texas;Beaumont;United States;77705
West;California;Fresno;United States;93727
Central;Wisconsin;Kenosha;United States;53142
