detail_id;order_id;customer_id;product_id;postal_code;sales;quantity;discount;profit
1;CA-2016-152156;CG-12520;FUR-BO-100017981;42420;261.96;2;0.00;41.91
2;CA-2016-152156;CG-12520;FUR-CH-100004541;42420;731.94;3;0.00;219.58
3;CA-2016-138688;DV-13045;OFF-LA-100002401;90036;14.62;2;0.00;6.87
859;CA-2017-161984;SJ-20125;OFF-PA-100045691;8901;7.61;1;0.00;3.58
860;CA-2017-161984;SJ-20125;OFF-FA-100006241;8901;7.16;2;0.00;3.58
861;CA-2014-133851;CM-12445;OFF-SU-100012251;94122;7.36;2;0.00;0.15
1237;CA-2016-144344;PG-18820;FUR-FU-100032681;33437;63.97;2;0.20;0.00
3262;CA-2014-140662;TS-21205;TEC-AC-100013141;94109;99.98;2;0.00;8.00
6717;CA-2016-134789;CK-12325;OFF-FA-100022801;71901;30.00;6;0.00;14.40
7856;CA-2017-135587;BH-11710;TEC-AC-100012661;39401;52.00;4;0.00;23.40
8451;CA-2017-125451;AH-10075;OFF-AP-100029061;2920;2.22;1;0.00;0.67
8777;CA-2016-102813;EA-14035;FUR-CH-100006651;77340;528.43;5;0.30;0.00
8888;CA-2014-169642;BB-10990;OFF-ST-100025741;90036;276.28;2;0.00;0.00
4;US-2015-108966;SO-20335;FUR-TA-100005771;33311;957.58;5;0.45;-383.03
5;US-2015-108966;SO-20335;OFF-ST-100007601;33311;22.37;2;0.20;2.52
6;CA-2014-115812;BH-11710;FUR-FU-100014871;90032;48.86;7;0.00;14.17
7;CA-2014-115812;BH-11710;OFF-AR-100028331;90032;7.28;4;0.00;1.97
8;CA-2014-115812;BH-11710;TEC-PH-100022751;90032;907.15;6;0.20;90.72
9;CA-2014-115812;BH-11710;OFF-BI-100039101;90032;18.50;3;0.20;5.78
10;CA-2014-115812;BH-11710;OFF-AP-100028921;90032;114.90;5;0.00;34.47
11;CA-2014-115812;BH-11710;FUR-TA-100015391;90032;1706.18;9;0.20;85.31
12;CA-2014-115812;BH-11710;TEC-PH-100020331;90032;911.42;4;0.20;68.36
13;CA-2017-114412;AA-10480;OFF-PA-100023651;28027;15.55;3;0.20;5.44
14;CA-2016-161389;IM-15070;OFF-BI-100036561;98103;407.98;3;0.20;132.59
15;US-2015-118983;HP-14815;OFF-AP-100023111;76106;68.81;5;0.80;-123.86
16;US-2015-118983;HP-14815;OFF-BI-100007561;76106;2.54;3;0.80;-3.82
17;CA-2014-105893;PK-19075;OFF-ST-100041861;53711;665.88;6;0.00;13.32
18;CA-2014-167164;AG-10270;OFF-ST-100001071;84084;55.50;2;0.00;9.99
19;CA-2014-143336;ZD-21925;OFF-AR-100030561;94109;8.56;2;0.00;2.48
20;CA-2014-143336;ZD-21925;TEC-PH-100019491;94109;213.48;3;0.20;16.01
21;CA-2014-143336;ZD-21925;OFF-BI-100022151;94109;22.72;4;0.20;7.38
22;CA-2016-137330;KB-16585;OFF-AR-100002461;68025;19.46;7;0.00;5.06
23;CA-2016-137330;KB-16585;OFF-AP-100014921;68025;60.34;7;0.00;15.69
24;US-2017-156909;SF-20065;FUR-CH-100027741;19140;71.37;2;0.30;-1.02
25;CA-2015-106320;EB-13870;FUR-TA-100005771;84057;1044.63;3;0.00;240.26
26;CA-2016-121755;EH-13945;OFF-BI-100016341;90049;11.65;2;0.20;4.22
27;CA-2016-121755;EH-13945;TEC-AC-100030271;90049;90.57;3;0.00;11.77
28;US-2015-150630;TB-21520;FUR-BO-100048341;19140;3083.43;7;0.50;-1665.05
29;US-2015-150630;TB-21520;OFF-BI-100004741;19140;9.62;2;0.70;-7.05
30;US-2015-150630;TB-21520;FUR-FU-100048481;19140;124.20;3;0.20;15.53
31;US-2015-150630;TB-21520;OFF-EN-100015091;19140;3.26;2;0.20;1.10
32;US-2015-150630;TB-21520;OFF-AR-100040421;19140;86.30;6;0.20;9.71
33;US-2015-150630;TB-21520;OFF-BI-100015251;19140;6.86;6;0.70;-5.72
34;US-2015-150630;TB-21520;OFF-AR-100016831;19140;15.76;2;0.20;3.55
35;CA-2017-107727;MA-17560;OFF-PA-100002491;77095;29.47;3;0.20;9.95
36;CA-2016-117590;GH-14485;TEC-PH-100049771;75080;1097.54;7;0.20;123.47
37;CA-2016-117590;GH-14485;FUR-FU-100036641;75080;190.92;5;0.60;-147.96
38;CA-2015-117415;SN-20710;OFF-EN-100029861;77041;113.33;9;0.20;35.42
39;CA-2015-117415;SN-20710;FUR-BO-100025451;77041;532.40;3;0.32;-46.98
40;CA-2015-117415;SN-20710;FUR-CH-100042181;77041;212.06;3;0.30;-15.15
41;CA-2015-117415;SN-20710;TEC-PH-100004861;77041;371.17;4;0.20;41.76
42;CA-2017-120999;LC-16930;TEC-PH-100040931;60540;147.17;4;0.20;16.56
43;CA-2016-101343;RA-19885;OFF-ST-100034791;90049;77.88;2;0.00;3.89
44;CA-2017-139619;ES-14080;OFF-ST-100032821;32935;95.62;2;0.20;9.56
45;CA-2016-118255;ON-18715;TEC-AC-100001711;55122;45.98;2;0.00;19.77
46;CA-2016-118255;ON-18715;OFF-BI-100032911;55122;17.46;2;0.00;8.21
47;CA-2014-146703;PO-18865;OFF-ST-100017131;48185;211.96;4;0.00;8.48
48;CA-2016-169194;LH-16900;TEC-AC-100021671;19901;45.00;3;0.00;4.95
49;CA-2016-169194;LH-16900;TEC-PH-100039881;19901;21.80;2;0.00;6.10
50;CA-2015-115742;DP-13000;OFF-BI-100044101;47150;38.22;6;0.00;17.96
51;CA-2015-115742;DP-13000;OFF-LA-100027621;47150;75.18;6;0.00;35.33
52;CA-2015-115742;DP-13000;FUR-FU-100017061;47150;6.16;2;0.00;2.96
53;CA-2015-115742;DP-13000;FUR-CH-100030611;47150;89.99;1;0.00;17.10
54;CA-2016-105816;JM-15265;OFF-FA-100003041;10024;15.26;7;0.00;6.26
55;CA-2016-105816;JM-15265;TEC-PH-100024471;10024;1029.95;5;0.00;298.69
56;CA-2016-111682;TB-21055;OFF-ST-100006041;12180;208.56;6;0.00;52.14
57;CA-2016-111682;TB-21055;OFF-PA-100015691;12180;32.40;5;0.00;15.55
58;CA-2016-111682;TB-21055;FUR-CH-100039681;12180;319.41;5;0.10;7.10
59;CA-2016-111682;TB-21055;OFF-PA-100005871;12180;14.56;2;0.00;6.99
60;CA-2016-111682;TB-21055;TEC-AC-100021671;12180;30.00;2;0.00;3.30
61;CA-2016-111682;TB-21055;OFF-BI-100014601;12180;48.48;4;0.20;16.36
62;CA-2016-111682;TB-21055;OFF-AR-100018681;12180;1.68;1;0.00;0.84
63;CA-2015-135545;KM-16720;TEC-AC-100046331;90004;13.98;2;0.00;6.15
64;CA-2015-135545;KM-16720;OFF-BI-100010781;90004;25.82;6;0.20;9.36
65;CA-2015-135545;KM-16720;OFF-PA-100038921;90004;146.73;3;0.00;68.96
66;CA-2015-135545;KM-16720;FUR-FU-100003971;90004;79.76;4;0.00;22.33
67;US-2015-164175;PS-18970;FUR-CH-100011461;60610;213.12;5;0.30;-15.22
68;CA-2014-106376;BS-11590;OFF-AR-100026711;85234;1113.02;8;0.20;111.30
69;CA-2014-106376;BS-11590;TEC-PH-100027261;85234;167.97;4;0.20;62.99
70;CA-2016-119823;KD-16270;OFF-PA-100004821;22153;75.88;2;0.00;35.66
71;CA-2016-106075;HM-14980;OFF-BI-100046541;10009;4.62;1;0.20;1.73
72;CA-2017-114440;TB-21520;OFF-PA-100046751;49201;19.05;3;0.00;8.76
73;US-2015-134026;JE-15745;FUR-CH-100005131;38109;831.94;8;0.20;-114.39
